title,company,location,remote_or_onsite,job_type,link
"Software Engineer, Computer Vision - Reality Labs",Meta,"New York, NY",Onsite,Full-time,https://www.indeed.com/rc/clk?jk=e8c64125db61b478&bb=tUGuLEyYj2oEwuXs3Ge99GanVJchaUNxbqtoSMPoCIYZTzIHeBb98xQV9VsxdYtlua5DZEA9dhDLpEc1l8FAYPESmR5gC5XOCvEMIiZ1ulHTWNxxjRW6lxpIGsZWGjty&xkcb=SoAV67M3vh01InWEhB0AbzkdCdPP&fccid=ba07516c418dda52&vjs=3
"Software Engineer, FBM Mk7, Early to Mid Career",Lockheed Martin,"Littleton, CO 80127",Onsite,Full-time,https://www.indeed.com/rc/clk?jk=713f91d6235e1665&bb=tUGuLEyYj2oEwuXs3Ge99J7YMxZrYTP5XzXQpFy1m2ITmjC_o-8jFPCqa1zZRwweYNsOG9gdxJgCXkN58ecsPNuS-27_bhE01c3qqaGfmtdNMptp1CElF5OLQjws1FZi&xkcb=SoCb67M3vh01InWEhB0HbzkdCdPP&fccid=aeb15e43a6800b9d&vjs=3
"ASIC Engineer, Design Verification",Meta,"Menlo Park, CA 94025",Onsite,Full-time,https://www.indeed.com/rc/clk?jk=d415753318c23bea&bb=tUGuLEyYj2oEwuXs3Ge99FaekACdthnTnBnMUP8Vmd6xsYKCsRWB276UYzDzuQCX-ouAzbeTcf11pCQdNeSkj6D5yRXtbvpFZiCakGqIZSwGJek4-Ay0XuSjEU61lAbp&xkcb=SoAv67M3vh01InWEhB0GbzkdCdPP&fccid=ba07516c418dda52&vjs=3
IP Design Verification Engineer,TikTok,"San Jose, CA",Onsite,Full-time,https://www.indeed.com/rc/clk?jk=d4ef6fa9c7205932&bb=tUGuLEyYj2oEwuXs3Ge99LaYrIvzWi8ANtOHzauDmw9QVv44TM_1wNZuimMSX3YnUr7Vb7Eq9-f7D6h745V2UeFZHmfqQqNrALr2UnpqsC2IIAJpnvUUbXjh486OajHD-zr4WzPMzI4%3D&xkcb=SoCy67M3vh01InWEhB0FbzkdCdPP&fccid=caed318a9335aac0&vjs=3
"Software Engineer, Hardware Tools and Methodology Development",NVIDIA,"Hybrid work in Santa Clara, CA 95050",Onsite,Full-time,https://www.indeed.com/rc/clk?jk=c59ed9af07efef84&bb=NX_2ubA7i7_TC01GLyx5cR7EpcYJTxCZKJlsyjp_kVeTa1Uv2b-7ot8jlusfEy5QqErtIxcjQBQaSHmtVUuRftwwogykJN4-fCZCULyuLGAZ53IhSzKAEeqD2-8MSy8Tsmqipdu4fRE%3D&xkcb=SoDR67M3vh0z282Emx0LbzkdCdPP&fccid=c267f29f0f85e8b8&vjs=3
Python Specialist (Scientist 2/3),Los Alamos National Laboratory,"Los Alamos, NM",Onsite,Full-time,https://www.indeed.com/rc/clk?jk=2f29ccbc89cfdf09&bb=NX_2ubA7i7_TC01GLyx5cWrGMTdlLmN6xyByjkd1WLQuoz8njVjcUq1A69UwMFME4tj6_ED23HzejDhlpZpAhMILYWZ6eNE48vy0Jh9wVIWHC4tNKo7gbbPvOL2_g5hh&xkcb=SoBl67M3vh0z282Emx0KbzkdCdPP&fccid=58c52d580682c6ce&vjs=3
"Research Engineer, Reward Models",Anthropic,"Hybrid work in San Francisco, CA",Onsite,Full-time,https://www.indeed.com/rc/clk?jk=594f6d606a4f402a&bb=NX_2ubA7i7_TC01GLyx5cTrLp4C9Eid3eQoyXEo1VAtbPmUQeFcN9mLuh1kFTt6zY8LZGYn48L5AnDFZ2Jtw6_6S18y0J8asHcvVD7tgdAbdxIhsUjeGhLg_9EAumRNw5lRuY5co3ww%3D&xkcb=SoD467M3vh0z282Emx0JbzkdCdPP&fccid=8f0d04a86e31340d&vjs=3
Technology Engineering - Software & Controls I/II,Sorenson Engineering,"Yucaipa, CA 92399",Onsite,Full-time,https://www.indeed.com/rc/clk?jk=325962114bb9a650&bb=NX_2ubA7i7_TC01GLyx5ceC1v1JE_WsxmyyWwLWXlu32f32teBFALGyb7pZshZJuoHL8NIioe24VjL6ydISRgeEtTJL5UKuKNfXi6C1fYhuVG82folB7k4bI3MYAZcISgpU9sdkACxU%3D&xkcb=SoBM67M3vh0z282Emx0IbzkdCdPP&fccid=43a08521345d4fd7&vjs=3
Research Engineer / Research Scientist - Agent Robustness and Control,OpenAI,"Hybrid work in San Francisco, CA",Onsite,Full-time,https://www.indeed.com/rc/clk?jk=1ca27a62d0758269&bb=NX_2ubA7i7_TC01GLyx5cRUYcmHQt7gnqCnXiIyw8nPEtmuZJ0xOymUIpRY2s-4GyiAr1yYv8akLVrR3CwSdnLtQE791vWsNJchF8QUhSY2PQy30yHqWpG4nlzll_jzad7gdP9JZ2SY%3D&xkcb=SoDC67M3vh0z282Emx0PbzkdCdPP&fccid=c037aeb6086309d9&vjs=3
Research Engineer,Durlston Partners,"Chicago, IL",Onsite,Full-time,https://www.indeed.com/rc/clk?jk=58cb6610a552e21c&bb=NX_2ubA7i7_TC01GLyx5ca9tRbefDMKtUKf06QIlGvwvoN7VHgOI5DLqaWBcFspV8EAPAG-yeYGvvsMoA3XhPhwb__w_bAq75XCCiFBvvcJs_i4qiLTUYmT2AyDsxqzZlTkxMnmDoKo%3D&xkcb=SoB267M3vh0z282Emx0ObzkdCdPP&fccid=7f5f5c34e9ad5942&vjs=3
